employer_key,employer,fiscal_year,approvals,denials,state,city
embark trucks,EMBARK TRUCKS INC,2021;2022;2023,30,1,CA,SAN FRANCISCO
fig,FIG LLC,2021;2022;2023,30,0,NY,NEW YORK
five below,FIVE BELOW INC,2021;2022;2023,30,0,PA,PHILADELPHIA
florida a and m university,FLORIDA A&M UNIVERSITY,2021;2022;2023,30,0,FL,TALLAHASSEE
fluke electronics,FLUKE ELECTRONICS CORPORATION,2021;2022;2023,30,4,WA,EVERETT
foursquare,FOURSQUARE LABS INC,2021;2022;2023,30,0,NY,NEW YORK
global technical software svcs,GLOBAL TECHNICAL SOFTWARE SVCS INC,2021;2022,30,0,NJ,HAMILTON
gracenote inc a nielsen,GRACENOTE INC A NIELSEN COMPANY,2021;2022;2023,30,0,CA,EMERYVILLE
granite telecommunications,GRANITE TELECOMMUNICATIONS LLC,2021;2022;2023,30,0,MA,QUINCY
hellmuth obata kassabaum,HELLMUTH OBATA KASSABAUM INC,2021;2022,30,1,MO,SAINT LOUIS
horizon advanced,HORIZON ADVANCED SYSTEMS INC,2021;2022;2023,30,0,NJ,ISELIN
hughes systique private,HUGHES SYSTIQUE PRIVATE LIMITED,2021;2022;2023,30,0,MD,ROCKVILLE
icore infotech,ICORE INFOTECH INC,2021;2022;2023,30,2,MD,ELLICOTT CITY
impossible foods,IMPOSSIBLE FOODS INC,2021;2022;2023,30,0,CA,REDWOOD CITY
indu llc dba intigrow,INDU LLC DBA INTIGROW,2021;2022;2023,30,0,GA,DULUTH
ispero,ISPERO LLC,2021;2022;2023,30,2,IL,ARLINGTON HEIGHTS
ittechnica,ITTECHNICA INC,2021;2022;2023,30,2,TX,IRVING
jam city,JAM CITY INC,2021;2022;2023,30,0,CA,CULVER CITY
justworks,JUSTWORKS INC,2021;2022;2023,30,0,NY,NEW YORK
kohlberg kravis roberts,KOHLBERG KRAVIS ROBERTS CO LP,2021;2022;2023,30,1,NY,NEW YORK
ksoft,KSOFT SYSTEMS INC,2021;2022;2023,30,0,NJ,EDISON
langan engrg and environmental,LANGAN ENGRG AND ENVIRONMENTAL,2021;2022,30,0,NJ,PARSIPPANY
lexisnexis risk data management in,LEXISNEXIS RISK DATA MANAGEMENT IN,2021;2022,30,0,GA,ALPHARETTA
marklogic,MARKLOGIC CORPORATION,2021;2022;2023,30,0,CA,SAN CARLOS
maxary,MAXARY LLC,2021;2022;2023,30,1,VA,LEESBURG
mercer,MERCER,2021;2022;2023,30,1,NY,NEW YORK
montclair state university,MONTCLAIR STATE UNIVERSITY,2021;2022;2023,30,1,NJ,MONTCLAIR
mskv,MSKV TECHNOLOGIES INC,2021;2022;2023,30,5,TX,KATY
myvest,MYVEST CORPORATION,2021;2022;2023,30,0,CA,SAN FRANCISCO
n s,N S INTERNATIONAL LTD,2021;2022;2023,30,0,MI,TROY
new era,NEW ERA GROUP INC,2021;2022;2023,30,0,WA,TUKWILA
noom,NOOM INC,2021;2022;2023,30,0,NY,NEW YORK
